model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 8 s
model is updating
5000 updates took 41 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	n_1SW[4]	461.4	31.07	407.9	458.4	522.3	10000
	n_1SW[5]	580.2	29.64	527.3	578.5	640.8	10000
	n_1SW[6]	261.2	21.35	226.2	260.3	316.0	10000
	n_1SW[7]	323.6	47.98	250.2	318.8	438.9	10000
	n_1SW[8]	306.4	17.68	276.1	305.7	344.9	10000
	n_1SW[9]	566.9	34.75	508.4	564.6	646.8	10000
	n_1SW[10]	230.6	19.99	198.5	227.6	274.2	10000
	n_1SW[11]	1118.0	40.02	1041.0	1113.0	1204.0	10000
	n_1SW[12]	452.5	20.62	416.6	450.9	497.8	10000
	n_1SW[13]	892.9	39.65	826.0	891.2	973.4	10000
	n_1SW[14]	481.5	30.85	429.1	480.8	544.8	10000
	n_1SW[15]	286.0	22.19	250.0	285.9	335.9	10000
	n_1SW[16]	266.0	23.54	229.0	263.2	317.8	10000
	n_1SW[17]	765.8	35.68	704.3	758.3	871.6	10000
	n_1SW[18]	385.5	20.15	352.4	384.6	442.3	10000
	n_1SW[19]	383.4	36.58	323.8	384.3	468.7	10000
	n_1SW[20]	601.7	35.52	539.5	597.3	676.2	10000
	n_1SW[21]	691.1	43.35	621.0	687.1	775.7	10000
	n_1SW[22]	594.7	31.74	538.1	591.1	655.1	10000
	n_1SW[23]	615.9	32.18	559.8	613.1	687.5	10000
	n_1SW[24]	967.7	29.65	915.2	965.6	1029.0	10000
	n_MSW[1]	82.49	22.72	45.58	79.6	128.6	10000
	n_MSW[2]	92.36	12.07	73.64	91.39	120.5	10000
	n_MSW[3]	86.76	13.58	65.22	85.48	119.1	10000
	n_MSW[4]	74.25	10.73	57.02	73.13	101.3	10000
	n_MSW[5]	26.99	6.266	17.04	26.0	41.48	10000
	n_MSW[6]	91.11	12.54	70.99	89.56	122.6	10000
	n_MSW[7]	48.29	9.738	32.94	48.79	68.91	10000
	n_MSW[8]	36.97	7.276	26.0	35.88	53.84	10000
	n_MSW[9]	23.0	5.749	15.0	22.0	37.89	10000
	n_MSW[10]	59.4	8.378	46.0	58.96	78.34	10000
	n_MSW[11]	65.11	8.04	52.0	64.75	82.86	10000
	n_MSW[12]	129.2	14.73	106.9	126.8	162.3	10000
