"annee"	"cap_lf"	"age_riv"	"nb"
2008	151		41
2008	152		73
2008	153		85
2008	154		60
2008	155		128
2008	156		54
2008	157		66
2008	158		76
2008	159		17
2008	160		81
2008	161		26
2008	162		58
2008	163		52
2008	164		25
2008	165		74
2008	166		24
2008	167		20
2008	168		27
2008	169		9
2008	170		31
2008	171		12
2008	172		19
2008	173		6
2008	174		6
2008	175		16
2008	176		5
2008	177		6
2008	178		9
2008	179		3
2008	180		5
2008	182		5
2008	183		2
2008	184		2
2008	185		5
2008	187		2
2008	188		1
2008	192		2
2008	193		2
2008	194		1
2008	195		2
2008	197		2
2008	198		1
2008	202		1
2008	204		1
2008	205		2
2008	208		1
2009	161	"1"	1
2009	162	"1"	1
2009	170	"1"	4
2009	171	"1"	1
2009	172	"1"	2
2009	173	"1"	2
2009	174	"1"	1
2009	175	"1"	4
2009	176	"1"	1
2009	177	"1"	2
2009	178	"1"	1
2009	181	"1"	1
2009	182	"1"	1
2009	187	"1"	1
2009	188	"1"	1
2009	190	"1"	1
2009	191	"1"	1
2009	205	"1"	1
2009	210	"1"	1
2009	213	"1"	1
2009	177	"2"	1
2009	180	"2"	1
2009	181	"2"	2
2009	182	"2"	1
2009	184	"2"	1
2009	185	"2"	1
2009	188	"2"	1
2009	191	"2"	1
2009	192	"2"	1
2009	193	"2"	2
2009	194	"2"	2
2009	195	"2"	1
2009	202	"2"	2
2009	203	"2"	4
2009	208	"2"	1
2009	210	"2"	1
2009	211	"2"	3
2009	212	"2"	1
2009	214	"2"	1
2009	218	"2"	1
2009	219	"2"	1
2009	233	"2"	1
2009	235	"2"	1
2009	248	"3"	1
2009	134		1
2009	142		1
2009	145		4
2009	146		3
2009	147		3
2009	148		2
2009	150		3
2009	151		1
2009	152		2
2009	153		7
2009	154		7
2009	155		8
2009	156		7
2009	157		10
2009	158		7
2009	159		4
2009	160		16
2009	161		4
2009	162		12
2009	163		13
2009	164		11
2009	165		22
2009	166		8
2009	167		10
2009	168		19
2009	169		2
2009	170		15
2009	171		2
2009	172		8
2009	173		6
2009	174		3
2009	175		7
2009	176		5
2009	177		4
2009	178		2
2009	180		4
2009	181		1
2009	183		2
2009	185		1
2009	186		2
2009	188		2
2009	190		1
2009	193		1
2009	196		1
2009	212		1
2010	151	.	1
2010	175	.	1
2010	135	"1"	1
2010	138	"1"	1
2010	145	"1"	1
2010	148	"1"	2
2010	150	"1"	5
2010	151	"1"	1
2010	152	"1"	3
2010	153	"1"	12
2010	154	"1"	8
2010	155	"1"	11
2010	156	"1"	4
2010	157	"1"	5
2010	158	"1"	19
2010	159	"1"	8
2010	160	"1"	8
2010	161	"1"	11
2010	162	"1"	5
2010	163	"1"	15
2010	164	"1"	5
2010	165	"1"	9
2010	166	"1"	7
2010	167	"1"	10
2010	168	"1"	7
2010	169	"1"	5
2010	170	"1"	7
2010	171	"1"	9
2010	172	"1"	11
2010	173	"1"	3
2010	174	"1"	7
2010	175	"1"	7
2010	176	"1"	2
2010	177	"1"	4
2010	179	"1"	2
2010	180	"1"	1
2010	181	"1"	3
2010	182	"1"	1
2010	185	"1"	4
2010	187	"1"	1
2010	188	"1"	1
2010	189	"1"	1
2010	198	"1"	1
