"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"dRR_Oir[14,1]";1.6062191492;1.13539236892578;0.28649749957451;0.8024;1.321;2.093;4.55
"dRR_Oir[14,2]";2.923513222;1.6682030275066;0.732097499833512;1.723;2.575;3.754;7.09704999313218
"dRR_Oir[14,3]";2.539939856;1.52044727095292;0.5889;1.44674993518465;2.203;3.282;6.35002499808091
"dRR_Oir[14,5]";6.276793366;2.67037496081648;2.278;4.327;5.867;7.772;12.56
"dRR_Oir[14,6]";0.9895897056;0.872892229270237;0.1174;0.4054;0.7302;1.287;3.33412490870216
"dRR_Oir[14,7]";4.350660762;2.1563216582053;1.314;2.772;3.961;5.49624998294395;9.57904999491145
"dRR_Oir[14,8]";2.2776703338;1.51078778082174;0.45269249757598;1.2;1.921;2.952;6.18002499802813
"dRR_Oir[14,9]";5.01789429;2.44839079712662;1.57897499227829;3.227;4.565;6.318;10.9302498885621
"dRR_Oir[14,10]";0.76909248638;0.671902218733318;0.0992484995577585;0.3271;0.5777;0.990124999053182;2.577
"dRR_Oir[14,11]";1.7833984454;1.16938712708028;0.3875;0.96287499902632;1.504;2.288;4.83
"dRR_Oir[14,12]";0.125963600282;0.152610580779882;0.00939877489490262;0.0386174997572134;0.078044999839836;0.1556;0.527202499768855
"dRR_Oir[14,13]";14.19987858;4.85906123314355;6.60294999261552;10.7;13.54;17;25.41
"dRR_Oir[14,14]";12.36269588;4.28191223660166;5.61397499782883;9.263;11.8;14.88;22.21
"dRR_Oir[14,15]";7.710140396;3.15964912794538;2.963;5.431;7.235;9.46624999009674;15.21
"dRR_Oir[14,16]";5.000135142;2.29680651817947;1.68997499278565;3.326;4.61;6.263;10.49
"dRR_Oir[14,17]";5.889041926;2.73878474110675;1.981;3.898;5.409;7.37;12.55
"dRR_Oir[14,18]";0.61793970728;0.514249783479872;0.0937992498830378;0.2755;0.4721;0.7932;1.982
"dRR_Oir[14,20]";15.16000572;5.18930079318801;7.037;11.4574991815205;14.48;18.14;27.17
"dRR_Oir[14,21]";18.06685368;5.0470280986857;9.70094999497406;14.46;17.57;21.13;29.28
