"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"lambda_tot[11]","58.2796545","19.4992618004092","31.729749961582","44.84","54.58","67.43","106.4","1.00112494398226","9900"
"lambda_tot[12]","149.97784","39.8024390457199","90.34","121.6","143.8","171.1","246","1.00100960490186","40000"
"lambda_tot[13]","54.9235995","15.7364192877827","32.42","44.0474997871455","52.23","62.6","93.4312496740018","1.00097350774711","40000"
"lambda_tot[14]","51.13565975","13.4145328983924","32.43","42.16","48.77","57.31","84.03","1.00097822658734","40000"
"lambda_tot[15]","286.7331775","39.2744915135204","223.8","258.9","281.7","309.2","376.902499676695","1.00115960904391","8100"
"lambda_tot[16]","49.956148","23.5211398726256","21.7897499440515","34.08","44.31","59.43","110.8","1.00098960555778","40000"
"lambda_tot[17]","92.2171839","63.0508278394766","18.2497499331951","46.4","76.73","121.2","254.9","1.00097636887064","40000"
"lambda_tot[18]","132.790296","55.0926246071971","56.5397499784419","93.52","122.7","160.7","268.8","1.00106429246479","17000"
"lambda_tot[19]","133.252291","23.0978444103931","95.79","116.9","130.8","146.7","186.1","1.00097610591114","40000"
"lambda_tot[20]","48.82511375","18.1163813134372","24.97","36.43","45.11","57.1","94.2407498836327","1.00097355755659","40000"
"lambda_tot[21]","136.8782915","22.8629541933646","99.54","120.8","134.3","150","188.8","1.00097358150319","40000"
"lambda_tot[22]","381.65108","38.5158062750467","314.797499612768","355","378.7","405.1","465.6","1.00099761330657","40000"
"lambda_tot[23]","131.84796325","19.8340083139111","98.83","117.9","129.8","143.4","176.7","1.00097563653208","40000"
"lambda_tot[24]","94.6117605","28.810375988778","54.18","74.35","89.23","108.9","166.9","1.00097368153866","40000"
"lambda_tot[25]","183.33563","32.4787179577813","132.7","160.3","179.3","201.3","259.00249952956","1.00097410220507","40000"
"lambda_tot[26]","134.1431885","18.9347594512408","102.7","120.9","132.3","145.3","176.7","1.0010125807884","38000"
"lambda_tot[27]","174.2699225","23.1197532462773","135.9","158.1","171.8","187.7","226.5","1.00098514213961","40000"
"lambda_tot[28]","173.792235","19.2115516499239","140.7","160.4","172.2","185.3","216.4","1.00098191731614","40000"
"lambda_tot[29]","210.7404","32.0185912728008","160.4","188.1","206.6","228.8","285.202499572767","1.00097849512284","40000"
"lambda_tot[30]","193.3302575","32.2798057441517","143.3","170.6","188.9","211.1","268.5","1.00098779109803","40000"
"lambda_tot[31]","127.019978","18.6426148686751","96.18","113.8","125.2","138","168.802499278273","1.00101676820106","35000"
"lambda_tot[32]","186.516085","29.5210735597027","139.8","165.7","182.9","203.2","255.2","1.00098129579942","40000"
"lambda_tot[33]","300.4905625","45.4082983883195","226.2","268","295.6","327","404.2","1.00098089387029","40000"
"lambda_tot[34]","395.215335","39.0973464304193","330.5","367.5","391.1","418.2","483.1","1.00110924958518","11000"
"lambda_tot[35]","172.4269475","31.2143032085511","124.5","150.7","167.9","189.3","245.9","1.00098712996907","40000"
"lambda_tot[36]","185.4717425","30.1099736719672","136.897499109323","164.3","182","202.8","254.3","1.00099185024466","40000"
"lambda_tot[37]","327.6428625","62.7632277860623","233","283.1","318.1","362.1","475.6","1.00108816176164","13000"
"Plambda[1,1]","0.68117958","0.071569730544287","0.5283","0.6353","0.686049998177975","0.7321","0.8078","1.0009777206064","40000"
"Plambda[1,2]","0.3188204215","0.0715697365527643","0.1922","0.2679","0.313949996018474","0.3647","0.4717","1.00098689091952","40000"
"Plambda[2,1]","0.7389214325","0.0588570584146972","0.6109","0.702","0.7434","0.7807","0.8403","1.00104213833738","22000"
"Plambda[2,2]","0.26107856925","0.0588570379611767","0.1597","0.2193","0.2566","0.298","0.3891","1.00104063540804","22000"
"Plambda[3,1]","0.801513875","0.0471288671701049","0.695197499824674","0.7734","0.8064","0.835","0.8798","1.00097352897855","40000"
"Plambda[3,2]","0.1984861215","0.0471288709190989","0.1202","0.165","0.1936","0.2266","0.304802499600234","1.00097357780752","40000"
"Plambda[4,1]","0.806687105","0.0610028227693491","0.670697499818269","0.7692","0.8131","0.8511","0.9065","1.00117373613035","7500"
"Plambda[4,2]","0.193312968","0.0610027035590802","0.0934997499869643","0.1489","0.1869","0.2308","0.329302499629971","1.0011490625887","8600"
"Plambda[5,1]","0.71088057","0.0777512971761913","0.5412","0.6617","0.717","0.7663","0.8447","1.00097567008075","40000"
"Plambda[5,2]","0.28911942975","0.0777513109354506","0.1553","0.2337","0.283","0.3383","0.4588","1.00097383210643","40000"
"Plambda[6,1]","0.7752971875","0.0544846363090522","0.6575","0.7418","0.7791","0.8137","0.87","1.00098453687419","40000"
"Plambda[6,2]","0.2247028","0.0544846518104142","0.13","0.1863","0.2209","0.2582","0.3425","1.00098568532337","40000"
"Plambda[7,1]","0.7227814375","0.0649274385640659","0.583897499791251","0.6816","0.7265","0.7683","0.8384","1.00098768348528","40000"
"Plambda[7,2]","0.27721856075","0.0649274262744807","0.1616","0.2317","0.2735","0.3184","0.416102499707148","1.00098170523841","40000"
"Plambda[8,1]","0.7800702525","0.0433606606788758","0.6863","0.7532","0.7833","0.8104","0.8555","1.0009737083771","40000"
"Plambda[8,2]","0.219929748","0.0433606572631395","0.1445","0.1896","0.2167","0.2468","0.3137","1.00097556359265","40000"
"Plambda[9,1]","0.8186356725","0.0520836952894629","0.6968","0.7901","0.8256","0.8555","0.9","1.0009798081313","40000"
"Plambda[9,2]","0.18136429","0.0520837667676304","0.0999794999512338","0.1445","0.1744","0.2099","0.3032","1.00098000021856","40000"
"Plambda[10,1]","0.74227175","0.0816544420202296","0.5633","0.6908","0.7494","0.8003","0.8811","1.00106822197404","16000"
"Plambda[10,2]","0.2577282655","0.0816544023843309","0.1189","0.1997","0.2506","0.3092","0.4367","1.00109283793989","13000"
"Plambda[11,1]","0.82782984","0.073373578317568","0.662997499816158","0.7836","0.836","0.8813","0.9455","1.00098866404967","40000"
"Plambda[11,2]","0.172170216125","0.0733735191640879","0.0545494999106109","0.1187","0.164","0.2164","0.337002499638424","1.00097646928851","40000"
"Plambda[12,1]","0.7950362775","0.0587723779636598","0.6653","0.7587","0.8001","0.8373","0.8938","1.00098046121562","40000"
"Plambda[12,2]","0.204963699","0.058772414861235","0.1062","0.1627","0.1999","0.2413","0.3347","1.00098483805742","40000"
"Plambda[13,1]","0.729699555","0.073742490734145","0.5723","0.6828","0.7348","0.782","0.8584","1.00098818906863","40000"
"Plambda[13,2]","0.270300439","0.073742496539595","0.1416","0.218","0.2652","0.3172","0.4277","1.0009854920793","40000"
"Plambda[14,1]","0.70839252","0.0723775807478011","0.5537","0.662","0.7132","0.7592","0.837","1.00101311962831","38000"
"Plambda[14,2]","0.291607474","0.0723776039525568","0.163","0.2408","0.2868","0.338","0.4463","1.00100952637787","40000"
"Plambda[15,1]","0.794947515","0.0584618419997097","0.6632","0.7598","0.8013","0.8372","0.890802499863195","1.00098424306011","40000"
"Plambda[15,2]","0.205052465","0.0584618765468062","0.109197498883255","0.1628","0.1987","0.2402","0.3368","1.00098755430733","40000"
"Plambda[16,1]","0.709939235","0.0971972525859786","0.495994999016876","0.65","0.7191","0.7802","0.8725","1.00097353565362","40000"
"Plambda[16,2]","0.29006077075","0.0971972455844669","0.1275","0.2198","0.2809","0.35","0.504004999032991","1.00097683495921","40000"
