"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"lambda[41]","1958.5","605.191","1236.521","1410.423","1778.039","2416.801","3060.395","3.627","2"
"lambda[42]","5530.571","2060.274","2995.66","3601.98","5211.892","6651.246","9063.331","5.69","2"
"Nesc[1]","1763.464","644.663","1151.462","1179.75","1483.368","2286.51","2783.86","7.719","2"
"Nesc[2]","7725.071","4602.655","2910.034","3282.459","6400.549","12087.462","13729.518","17.771","2"
"Nesc[3]","1044.929","300.995","751.675","766.5","941.96","1316.466","1549.609","8.402","2"
"Nesc[4]","3851.786","547.446","2999.925","3511.244","3706.494","4304.368","4803.784","3.768","2"
"Nesc[5]","10449.643","9735.529","1699.691","2153.75","4620.412","18917.617","28825.127","9.131","2"
"Nesc[6]","2102.893","653.771","871.039","1736.167","2238.373","2641.483","2905.799","2.987","3"
"Nesc[11]","981.857","309.508","594.731","743.611","925.451","1227.999","1638.894","3.932","2"
"Nesc[12]","1643.5","211.35","1174.299","1522.964","1652.436","1777.475","1943.793","1.327","8"
"Nesc[13]","2136.214","434.886","1458.758","1784.277","2237.439","2484.16","2753.131","3.573","2"
"Nesc[14]","1059.036","852.005","256.741","397.667","792.999","1462.117","2894.537","3.408","3"
"Nesc[15]","1717.464","578.033","845.125","1267.506","1735","2033.54","2877.89","1.286","8"
"Nesc[16]","5468.75","886.919","3524.072","4983.72","5613.977","6122.998","6617.242","2.962","3"
"Nesc[17]","1909.25","272.687","1545.675","1622.996","1945.364","2160.496","2242.324","7.386","2"
"Nesc[18]","737.071","283.717","369.366","541.64","663.498","925.749","1312.097","1.056","28"
"Nesc[19]","1225.679","431.543","547.78","778.418","1200.497","1549.679","1909.535","2.883","3"
"Nesc[21]","1387.857","508.537","474.601","1050.679","1400.461","1593.871","2519.894","1.814","4"
"Nesc[22]","9159.5","6491.484","2434.978","3060.119","5865.697","16020","17189.744","15.413","2"
"Nesc[23]","6984.25","693.996","5628.423","6413.423","7191.988","7471.747","7857.376","2.545","3"
