"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"
276300	238500	536400	261000	261000	580500	732600	527400	747900	1348000	970200	732600	677700	319500	349200	442800	453600	533700	1103000	392400	282600	277200	241200	215100	319500	194400	401400	335700	203400	420300	316800	293400	188100	229500	189000	262800	438300	182700
288900	313200	538200	369900	219600	711000	659700	696600	725400	1310000	980100	701100	628200	333900	388800	415800	431100	510300	1047000	387900	276300	275400	226800	198900	291600	211500	340200	306900	236700	434700	486000	354600	229500	252000	238500	277200	366300	169200
240300	240300	582300	272700	177300	568800	786600	698400	966600	1301000	972000	804600	639900	312300	337500	432900	410400	533700	1128000	392400	263700	292500	260100	161100	300600	194400	341100	320400	243900	405900	616500	404100	242100	251100	253800	350100	516600	198000
274500	235800	457200	360000	207000	659700	783000	736200	827100	1337000	978300	717300	609300	331200	355500	453600	365400	557100	1073000	498600	262800	275400	261900	174600	313200	234000	342000	303300	244800	385200	401400	394200	190800	233100	250200	260100	441900	169200
234900	193500	491400	394200	240300	601200	893700	693900	864000	1387000	854100	690300	641700	335700	350100	449100	472500	623700	999900	398700	259200	287100	281700	203400	386100	201600	365400	293400	185400	456300	468900	378900	248400	249300	263700	249300	459900	192600
206100	190800	604800	266400	204300	681300	756000	621900	774900	1260000	1004000	729900	603900	315000	406800	434700	433800	531900	1047000	373500	236700	335700	239400	163800	336600	210600	350100	315900	204300	365400	411300	289800	206100	228600	242100	270000	310500	140400
319500	210600	481500	270900	187200	762300	783000	603900	795600	1412000	1005000	639000	628200	307800	357300	432000	408600	503100	1031000	406800	270000	298800	240300	202500	282600	263700	364500	324000	247500	397800	351000	304200	228600	317700	262800	313200	411300	192600
195300	207900	486900	262800	235800	572400	725400	584100	827100	1229000	874800	675900	624600	340200	362700	500400	420300	527400	1059000	408600	257400	315000	245700	186300	321300	222300	359100	311400	234900	408600	396900	278100	213300	215100	297900	278100	480600	198900
219600	141300	519300	284400	193500	525600	702900	571500	806400	1328000	985500	732600	655200	324000	349200	458100	428400	510300	1150000	486000	261000	266400	263700	203400	337500	204300	337500	324000	201600	437400	362700	303300	171900	297000	216900	246600	469800	255600
245700	206100	401400	253800	215100	551700	745200	683100	724500	1316000	990000	760500	630000	347400	356400	465300	421200	603900	1052000	395100	233100	273600	237600	161100	313200	204300	362700	302400	272700	426600	379800	403200	230400	240300	234900	340200	381600	190800
400500	171900	455400	309600	357300	711000	814500	593100	794700	1553000	990900	829800	631800	336600	358200	439200	453600	580500	1037000	372600	281700	282600	298800	182700	302400	225000	318600	316800	194400	483300	409500	411300	212400	225900	324000	289800	358200	171000
275400	185400	457200	499500	187200	549900	810000	610200	818100	1343000	1168000	613800	658800	335700	334800	433800	414900	562500	1037000	391500	289800	420300	282600	190800	334800	223200	387000	303300	308700	445500	403200	314100	258300	289800	251100	256500	379800	171900
244800	335700	457200	209700	225000	575100	943200	637200	695700	1343000	936000	734400	612000	333900	365400	420300	459900	516600	1002000	385200	261000	279900	250200	165600	343800	194400	325800	305100	210600	423000	392400	272700	301500	209700	207900	221400	371700	206100
275400	235800	534600	278100	260100	600300	686700	683100	777600	1388000	1078000	688500	685800	349200	334800	404100	388800	505800	1148000	382500	252900	293400	247500	214200	339300	194400	360000	286200	259200	406800	394200	290700	237600	214200	214200	361800	468000	154800
281700	178200	478800	392400	198000	743400	950400	665100	774000	1458000	1020000	777600	622800	307800	343800	473400	432000	523800	1043000	379800	293400	412200	198000	153900	315900	198900	365400	307800	229500	417600	374400	272700	204300	229500	236700	292500	406800	153900
234900	219600	601200	287100	206100	526500	796500	643500	805500	1307000	1005000	760500	602100	420300	341100	437400	415800	521100	1065000	408600	232200	283500	208800	252900	304200	214200	410400	307800	287100	435600	441000	314100	197100	241200	253800	279000	467100	236700
279000	367200	516600	316800	281700	754200	701100	527400	740700	1371000	1002000	780300	680400	352800	380700	447300	445500	532800	1054000	441900	291600	269100	216900	209700	308700	204300	351000	283500	216000	461700	350100	338400	193500	261900	287100	284400	356400	189000
207900	148500	514800	266400	334800	490500	874800	691200	789300	1333000	950400	675000	608400	303300	406800	441000	429300	551700	1042000	398700	274500	288000	280800	195300	317700	185400	378900	397800	315900	484200	425700	279000	196200	231300	294300	325800	340200	180900
246600	215100	639000	341100	218700	545400	860400	610200	717300	1378000	982800	775800	633600	322200	360000	444600	396000	520200	1094000	414000	274500	264600	225900	216900	303300	231300	368100	299700	279900	415800	442800	314100	295200	271800	225900	331200	315000	210600
216000	185400	552600	298800	233100	506700	738000	640800	827100	1334000	1063000	715500	630000	312300	372600	424800	398700	510300	1067000	401400	268200	307800	289800	195300	345600	227700	344700	329400	180900	461700	393300	277200	216900	237600	236700	299700	316800	193500
258300	263700	703800	313200	283500	544500	779400	677700	751500	1305000	949500	680400	618300	331200	346500	441900	389700	558900	1140000	370800	323100	285300	214200	206100	328500	191700	334800	297000	230400	407700	374400	336600	277200	269100	228600	292500	394200	184500
230400	135900	594000	306900	304200	675900	763200	524700	675900	1308000	880200	701100	691200	348300	360000	456300	449100	586800	1096000	400500	245700	283500	216000	172800	345600	210600	339300	295200	221400	432900	379800	313200	215100	237600	218700	298800	412200	182700
248400	167400	580500	464400	167400	682200	672300	719100	723600	1513000	962100	630000	639900	303300	363600	489600	378000	508500	1124000	416700	315900	291600	240300	227700	343800	210600	359100	315000	243900	413100	396900	352800	205200	243000	253800	275400	491400	211500
196200	294300	468900	303300	164700	629100	981900	666900	882000	1525000	983700	698400	653400	366300	355500	504900	475200	550800	1083000	428400	278100	308700	247500	188100	302400	213300	343800	324000	252000	461700	421200	487800	261900	253800	231300	340200	565200	218700
209700	180900	409500	244800	196200	488700	863100	771300	747000	1338000	996300	657000	592200	321300	343800	402300	387000	557100	1042000	358200	271800	304200	260100	185400	312300	211500	378000	347400	243900	489600	402300	371700	294300	260100	227700	261900	515700	243900
201600	261000	707400	330300	362700	603900	844200	801000	722700	1400000	936900	758700	655200	324000	334800	439200	432900	541800	1076000	414000	269100	331200	244800	171900	297900	201600	378000	302400	171900	375300	367200	376200	249300	248400	295200	294300	495900	160200
240300	129600	639900	315900	243900	767700	769500	696600	751500	1358000	1126000	778500	633600	338400	353700	449100	455400	540900	1121000	385200	252900	276300	257400	174600	305100	223200	355500	338400	264600	441000	386100	326700	228600	241200	207900	320400	469800	221400
346500	275400	646200	331200	200700	613800	828000	656100	773100	1347000	1041000	725400	611100	369000	346500	448200	454500	515700	1022000	492300	267300	306900	218700	205200	306000	222300	364500	344700	190800	371700	375300	325800	197100	230400	234000	331200	372600	153000
229500	241200	531900	394200	199800	860400	843300	714600	838800	1243000	949500	752400	656100	333000	370800	425700	406800	497700	1050000	448200	263700	288900	319500	211500	364500	211500	351000	331200	217800	502200	369000	366300	220500	217800	227700	369900	401400	164700
406800	237600	522900	293400	248400	774900	838800	742500	849600	1433000	978300	770400	630000	328500	362700	447300	443700	559800	1044000	407700	301500	288000	244800	179100	289800	184500	358200	288900	326700	468000	586800	374400	349200	268200	269100	337500	549000	234000
296100	241200	487800	332100	229500	475200	742500	707400	753300	1240000	1026000	702000	613800	316800	372600	424800	481500	534600	1056000	417600	266400	343800	293400	233100	316800	206100	383400	348300	289800	411300	384300	327600	209700	231300	221400	248400	343800	210600
225900	364500	504900	268200	187200	633600	818100	642600	738900	1286000	1032000	688500	613800	338400	336600	458100	448200	580500	1019000	373500	281700	323100	245700	175500	306000	193500	395100	276300	241200	466200	395100	300600	226800	237600	250200	287100	360900	147600
221400	277200	498600	303300	183600	700200	727200	675900	752400	1482000	948600	749700	623700	333000	358200	469800	441000	598500	1006000	394200	251100	279900	274500	229500	291600	185400	351000	323100	206100	394200	409500	369000	243900	178200	302400	256500	417600	187200
223200	205200	459000	242100	249300	766800	693000	551700	711000	1325000	937800	753300	648900	319500	357300	451800	541800	594900	1022000	427500	250200	306000	243900	171900	323100	208800	343800	344700	310500	455400	375300	337500	261900	223200	232200	291600	348300	155700
188100	186300	476100	305100	225000	542700	771300	621000	801000	1502000	1053000	694800	652500	333900	379800	449100	366300	524700	1076000	394200	248400	272700	265500	191700	296100	216000	377100	316800	224100	493200	383400	305100	223200	255600	209700	258300	565200	233100
304200	265500	577800	297000	307800	721800	753300	599400	772200	1412000	1018000	717300	602100	347400	365400	418500	421200	570600	1058000	406800	277200	341100	228600	226800	296100	201600	351900	326700	314100	454500	462600	362700	208800	269100	225000	277200	434700	198900
371700	318600	587700	308700	189900	483300	834300	627300	743400	1562000	1014000	674100	618300	331200	378900	439200	388800	515700	1085000	396900	273600	313200	249300	175500	310500	215100	343800	308700	216000	496800	384300	334800	235800	263700	259200	334800	361800	166500
297000	261900	453600	241200	223200	590400	893700	633600	875700	1362000	1013000	689400	648900	342900	373500	478800	360000	482400	1080000	385200	284400	282600	265500	198900	305100	210600	371700	335700	211500	458100	501300	272700	217800	207900	233100	324900	441000	202500
199800	185400	576000	251100	270000	675900	790200	786600	769500	1315000	1014000	730800	609300	333900	343800	449100	404100	585900	1164000	460800	292500	284400	243000	195300	342000	208800	358200	360000	228600	414000	450900	326700	213300	258300	258300	230400	460800	136800
201600	164700	487800	277200	193500	560700	830700	650700	801900	1406000	980100	775800	635400	350100	351900	479700	436500	532800	988200	408600	270900	286200	228600	216000	281700	265500	438300	286200	213300	467100	403200	430200	304200	234000	225900	291600	458100	211500
238500	226800	528300	266400	277200	509400	817200	668700	689400	1468000	962100	711900	634500	363600	363600	459900	424800	493200	1073000	434700	265500	303300	278100	159300	313200	216000	360900	305100	278100	435600	425700	329400	239400	228600	253800	227700	361800	134100
