"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"n[11,2]","187.169","12.392","166","178","186","195","214","1.001","6900"
"n[11,3]","4.191","1.256","3","3","4","5","7","1.001","5000"
"n[11,4]","45.47","5.836","36","41","45","49","59","1.001","6900"
"n[12,1]","83.401","4.849","76","80","83","86","95","1.002","5000"
"n[12,2]","98.876","4.688","91","96","98","102","109","1.001","6900"
"n[12,3]","10.581","2.011","8","9","10","12","15","1.001","6900"
"n[12,4]","46.069","6.123","37","42","45","50","60","1.001","6900"
"n[13,1]","70.892","3.106","66","69","70","73","78","1.001","6900"
"n[13,2]","97.699","2.526","94","96","97","99","104","1.001","6900"
"n[13,3]","5.702","0.943","5","5","5","6","8","1.001","4300"
"n[13,4]","41.061","2.77","37","39","41","43","47","1.001","6900"
"n[14,1]","41.046","2.58","37","39","41","42","47","1.001","6900"
"n[14,2]","70.433","2.459","67","69","70","72","76","1.001","6900"
"n[14,3]","1.355","0.653","1","1","1","2","3","1.001","6900"
"n[14,4]","10.987","1.725","9","10","11","12","15","1.001","6900"
"n[15,1]","83.599","4.584","76","80","83","86","94","1.001","6900"
"n[15,2]","76.141","2.957","71","74","76","78","83","1.001","6900"
"n[15,3]","2.727","0.99","2","2","2","3","5","1.002","1800"
"n[15,4]","10.954","2.143","8","9","11","12","16","1.001","6900"
"n[16,1]","75.749","4.499","69","72","75","78","86","1.002","1700"
"n[16,2]","69.075","3.403","64","67","69","71","77","1.001","6900"
"n[16,3]","8.958","1.671","7","8","9","10","13","1.001","6900"
"n[16,4]","27.376","3.513","22","25","27","29","36","1.001","5200"
"n[17,1]","75.212","6.42","65","71","74","79","90","1.001","6900"
"n[17,2]","59.589","4.939","52","56","59","62","71","1.001","6900"
"n[17,3]","6.876","1.74","5","6","7","8","11","1.001","6900"
"n[17,4]","26.605","3.697","22","24","26","28","36","1.001","6900"
"n[18,1]","101.359","5.957","92","97","101","105","115","1.001","6900"
"n[18,2]","87.204","4.127","80","84","87","90","96","1.001","6900"
"n[18,3]","4.158","1.262","3","3","4","5","7","1.001","6900"
"n[18,4]","24.742","2.91","20","23","24","26","31","1.001","6900"
"n[19,1]","201.942","10.82","183","194","201","209","225","1.001","6900"
"n[19,2]","187.276","8.354","173","181","187","192","205","1.001","6900"
"n[19,3]","3.954","1.122","3","3","4","4","7","1.001","6900"
"n[19,4]","34.182","3.405","29","32","34","36","42","1.001","6900"
"n[20,1]","13.477","2.066","11","12","13","15","18","1.001","3000"
"n[20,2]","17.846","1.985","15","16","18","19","22","1.001","6900"
"n[20,3]","12.572","1.985","10","11","12","14","17","1.001","6900"
"n[20,4]","51.762","4.063","45","49","51","54","61","1.001","6900"
