model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 44 s
model is updating
5000 updates took 223 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	d_Sc_pred[13,17]	12.4	3.392	6.917	11.99	19.96	10000
	d_Sc_pred[13,18]	11.11	3.122	6.217	10.72	18.28	10000
	d_Sc_pred[13,19]	15.3	4.013	8.638	14.86	23.79	10000
	d_Sc_pred[13,20]	16.82	5.178	8.987	16.1	28.75	10000
	d_Sc_pred[13,21]	19.08	4.943	10.88	18.5	29.57	10000
	d_Sc_pred[13,22]	11.88	3.378	6.4	11.45	19.68	10000
	d_Sc_pred[13,23]	39.15	10.54	22.1	38.12	63.12	10000
	d_Sc_pred[13,24]	10.55	2.932	5.778	10.2	16.71	10000
	d_Sc_pred[13,25]	14.98	4.156	8.203	14.55	22.75	10000
	d_Sc_pred[14,1]	12.33	4.112	5.966	11.75	22.17	10000
	d_Sc_pred[14,2]	19.3	6.04	9.895	18.45	33.06	10000
	d_Sc_pred[14,3]	8.186	2.651	4.195	7.847	14.01	10000
	d_Sc_pred[14,4]	14.11	3.693	8.192	13.65	22.16	10000
	d_Sc_pred[14,5]	11.27	3.332	5.987	10.82	18.59	10000
	d_Sc_pred[14,6]	9.575	3.212	4.566	9.128	16.83	10000
	d_Sc_pred[14,7]	19.89	7.318	9.162	19.0	36.91	10000
	d_Sc_pred[14,8]	24.88	6.297	14.49	24.28	38.64	10000
	d_Sc_pred[14,9]	3.663	1.302	1.683	3.483	6.671	10000
	d_Sc_pred[14,10]	26.52	6.095	16.2	26.02	39.72	10000
	d_Sc_pred[14,11]	12.3	4.138	6.175	11.66	21.86	10000
	d_Sc_pred[14,12]	32.98	7.657	20.38	32.45	48.83	10000
	d_Sc_pred[14,13]	11.69	3.366	6.537	11.18	19.21	10000
	d_Sc_pred[14,14]	16.56	4.229	9.556	16.04	26.2	10000
	d_Sc_pred[14,15]	29.94	7.745	16.95	29.13	47.58	10000
	d_Sc_pred[14,16]	21.88	5.356	13.05	21.29	33.48	10000
	d_Sc_pred[14,17]	17.3	4.276	10.26	16.8	26.59	10000
	d_Sc_pred[14,18]	29.82	6.634	18.82	29.22	43.89	10000
	d_Sc_pred[14,19]	35.94	7.634	23.1	35.09	54.06	10000
	d_Sc_pred[14,20]	40.89	10.55	23.83	40.14	64.45	10000
	d_Sc_pred[14,21]	30.54	6.827	19.52	29.95	45.86	10000
	d_Sc_pred[14,22]	21.1	5.319	12.07	20.57	32.17	10000
	d_Sc_pred[14,23]	63.53	15.16	38.15	62.22	98.36	10000
	d_Sc_pred[14,24]	20.01	4.749	11.93	19.46	29.88	10000
