"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Ntot[32]","1661.28695","91.3499499198824","1496","1598","1657","1719","1856","1.00099792941469","20000"
"Ntot[33]","2261.6934","298.364389567334","1751","2055","2238","2440","2903","1.00275408410627","830"
"Nesc[1]","750.8756","59.6961129884961","651","709","745","786","883.024986207901","1.00205280868714","1400"
"Nesc[2]","362.47065","41.9107869680434","301","332","356","385","464","1.00094871426101","20000"
"Nesc[3]","416.99975","37.7582300185563","357","390","412","439","503","1.00096294185262","20000"
"Nesc[4]","830.52485","79.6228401422049","701","774","822","877","1012","1.00108830664376","11000"
"Nesc[5]","815.00445","45.2033084757339","753","782","806","839","925","1.00099504752554","20000"
"Nesc[6]","202.6076","22.9963989345766","169","186","199","215","257","1.00104239705386","16000"
"Nesc[7]","678.1278","42.9242424707715","613","647","672","702","779","1.00167430833577","2100"
"Nesc[8]","230.53415","16.7527390742775","210","219","226","238","274","1.00096126020871","20000"
"Nesc[9]","593.72085","139.909200035202","405","495","566","662","941","1.00096988010429","20000"
"Nesc[10]","747.39505","45.2483807035712","675","715","741","774","850","1.00095510765308","20000"
"Nesc[11]","1005.0822","68.8208635424094","892","956","998","1046","1160.02498949949","1.00100074063526","20000"
"Nesc[12]","487.4448","75.0558346957523","369","434","478","530","661","1.0010047303756","20000"
"Nesc[13]","1089.76925","122.165876698483","883","1003","1078","1164","1363","1.001319193559","4100"
"Nesc[14]","263.5889","22.8970131338243","227","247","261","277","316","1.0009947001757","20000"
"Nesc[15]","2164.5599","56.7079738811491","2063","2124","2161","2201","2284","1.00095351609568","20000"
"Nesc[16]","1372.3659","97.751702731765","1201","1303","1365","1435","1581","1.00105586756167","14000"
"Nesc[17]","2365.10955","61.721178083286","2252","2322","2363","2406","2493","1.00094918056332","20000"
"Nesc[18]","1234.34675","52.2573378187723","1139.97498930303","1198","1232","1268","1344","1.00095660257938","20000"
"Nesc[19]","1232.16555","54.2264563532039","1135","1194","1229","1266","1347","1.00095265936904","20000"
"Nesc[20]","845.8554","32.3141532623873","788","823","844","866","915","1.00095507097639","20000"
"Nesc[21]","1360.1906","59.8790376225047","1251","1319","1357","1398","1487","1.00096713284793","20000"
"Nesc[22]","956.41995","42.4677779923306","882","927","954","983","1049","1.00116617355337","6900"
